trace,algo,frames,events,reads,writes,rate,repeats
swim.trace,lru,4,1000000,346936,56045,0.3469,1
swim.trace,lru,8,1000000,285375,53614,0.2854,1
swim.trace,lru,16,1000000,171961,46293,0.172,1
swim.trace,lru,32,1000000,48254,9674,0.0483,1
swim.trace,lru,64,1000000,21656,5687,0.0217,1
swim.trace,lru,128,1000000,13250,3812,0.0132,1
swim.trace,lru,256,1000000,5673,1866,0.0057,1
swim.trace,lru,512,1000000,3632,1159,0.0036,1
swim.trace,clock,4,1000000,380682,57213,0.3807,1
swim.trace,clock,8,1000000,293519,54327,0.2935,1
swim.trace,clock,16,1000000,191848,48350,0.1918,1
swim.trace,clock,32,1000000,53025,11140,0.053,1
swim.trace,clock,64,1000000,22611,5844,0.0226,1
swim.trace,clock,128,1000000,15275,4371,0.0153,1
swim.trace,clock,256,1000000,5980,1973,0.006,1
swim.trace,clock,512,1000000,3795,1218,0.0038,1
bzip.trace,lru,4,1000000,92770,35650,0.0928,1
bzip.trace,lru,8,1000000,30691,11092,0.0307,1
bzip.trace,lru,16,1000000,3344,1069,0.0033,1
bzip.trace,lru,32,1000000,2133,702,0.0021,1
bzip.trace,lru,64,1000000,1264,420,0.0013,1
bzip.trace,lru,128,1000000,771,224,0.0008,1
bzip.trace,lru,256,1000000,397,48,0.0004,1
bzip.trace,lru,512,1000000,317,0,0.0003,1
bzip.trace,clock,4,1000000,111442,37740,0.1114,1
bzip.trace,clock,8,1000000,46164,17568,0.0462,1
bzip.trace,clock,16,1000000,3468,1128,0.0035,1
bzip.trace,clock,32,1000000,2203,734,0.0022,1
bzip.trace,clock,64,1000000,1318,443,0.0013,1
bzip.trace,clock,128,1000000,802,235,0.0008,1
bzip.trace,clock,256,1000000,432,71,0.0004,1
bzip.trace,clock,512,1000000,317,0,0.0003,1
gcc.trace,lru,4,1000000,243809,43187,0.2438,1
gcc.trace,lru,8,1000000,171186,23983,0.1712,1
gcc.trace,lru,16,1000000,116604,14749,0.1166,1
gcc.trace,lru,32,1000000,84401,11737,0.0844,1
gcc.trace,lru,64,1000000,59089,8863,0.0591,1
gcc.trace,lru,128,1000000,40821,6131,0.0408,1
gcc.trace,lru,256,1000000,25308,4231,0.0253,1
gcc.trace,lru,512,1000000,10425,2173,0.0104,1
gcc.trace,clock,4,1000000,276968,51481,0.277,1
gcc.trace,clock,8,1000000,181856,29401,0.1819,1
gcc.trace,clock,16,1000000,121682,16376,0.1217,1
gcc.trace,clock,32,1000000,87686,12293,0.0877,1
gcc.trace,clock,64,1000000,61640,9346,0.0616,1
gcc.trace,clock,128,1000000,43017,6671,0.043,1
gcc.trace,clock,256,1000000,26789,4528,0.0268,1
gcc.trace,clock,512,1000000,11472,2398,0.0115,1
sixpack.trace,lru,4,1000000,282620,71260,0.2826,1
sixpack.trace,lru,8,1000000,176496,32717,0.1765,1
sixpack.trace,lru,16,1000000,108682,19342,0.1087,1
sixpack.trace,lru,32,1000000,67747,13730,0.0677,1
sixpack.trace,lru,64,1000000,41186,9672,0.0412,1
sixpack.trace,lru,128,1000000,21090,6526,0.0211,1
sixpack.trace,lru,256,1000000,11240,4092,0.0112,1
sixpack.trace,lru,512,1000000,5823,2444,0.0058,1
sixpack.trace,clock,4,1000000,329368,88943,0.3294,1
sixpack.trace,clock,8,1000000,191760,40261,0.1918,1
sixpack.trace,clock,16,1000000,115206,20951,0.1152,1
sixpack.trace,clock,32,1000000,70849,14432,0.0708,1
sixpack.trace,clock,64,1000000,41949,9947,0.0419,1
sixpack.trace,clock,128,1000000,23229,7226,0.0232,1
sixpack.trace,clock,256,1000000,11876,4319,0.0119,1
sixpack.trace,clock,512,1000000,6119,2587,0.0061,1
